identity,leader_class,lane_a,name_a,lane_b,name_b,comparisons,a_wins,a_win_rate,matched_fee_comparisons,matched_fee_a_wins,matched_fee_a_win_rate
,prio,1,rpc,3,zeroslot,1,1,1.0,1,1,1.0
,prio,1,rpc,7,tpu-quic,2,1,0.5,2,1,0.5
,prio,1,rpc,8,tpu-udp,1,0,0.0,1,0,0.0
,prio,1,rpc,9,stellium,1,1,1.0,1,1,1.0
,prio,1,rpc,10,nodeone,1,1,1.0,1,1,1.0
,prio,2,helius,6,landx,1,0,0.0,0,0,
,prio,2,helius,7,tpu-quic,1,0,0.0,0,0,
,prio,2,helius,10,nodeone,1,0,0.0,0,0,
,prio,3,zeroslot,7,tpu-quic,1,0,0.0,1,0,0.0
,prio,4,temporal,5,astralane,1,0,0.0,1,0,0.0
,prio,4,temporal,7,tpu-quic,1,0,0.0,1,0,0.0
,prio,5,astralane,7,tpu-quic,1,0,0.0,1,0,0.0
,prio,6,landx,7,tpu-quic,1,0,0.0,0,0,
,prio,6,landx,10,nodeone,1,0,0.0,1,0,0.0
,prio,7,tpu-quic,8,tpu-udp,2,2,1.0,2,2,1.0
,prio,7,tpu-quic,9,stellium,1,1,1.0,1,1,1.0
,prio,7,tpu-quic,10,nodeone,2,2,1.0,1,1,1.0
,prio,8,tpu-udp,9,stellium,1,1,1.0,1,1,1.0
,prio,8,tpu-udp,10,nodeone,1,1,1.0,1,1,1.0
,prio,9,stellium,10,nodeone,1,0,0.0,1,0,0.0
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,1,rpc,2,helius,26,22,0.8461538461538461,19,17,0.8947368421052632
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,1,rpc,3,zeroslot,21,17,0.8095238095238095,16,14,0.875
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,1,rpc,4,temporal,2,0,0.0,2,0,0.0
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,1,rpc,5,astralane,1,0,0.0,1,0,0.0
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,1,rpc,6,landx,25,17,0.68,18,12,0.6666666666666666
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,1,rpc,7,tpu-quic,43,9,0.20930232558139536,36,6,0.16666666666666666
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,1,rpc,8,tpu-udp,25,7,0.28,21,3,0.14285714285714285
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,1,rpc,9,stellium,19,18,0.9473684210526315,13,13,1.0
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,1,rpc,10,nodeone,21,17,0.8095238095238095,15,11,0.7333333333333333
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,2,helius,3,zeroslot,24,20,0.8333333333333334,22,18,0.8181818181818182
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,2,helius,4,temporal,1,0,0.0,1,0,0.0
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,2,helius,5,astralane,1,0,0.0,1,0,0.0
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,2,helius,6,landx,23,8,0.34782608695652173,16,7,0.4375
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,2,helius,7,tpu-quic,35,0,0.0,16,0,0.0
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,2,helius,8,tpu-udp,15,2,0.13333333333333333,8,0,0.0
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,2,helius,9,stellium,23,15,0.6521739130434783,18,11,0.6111111111111112
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,2,helius,10,nodeone,24,5,0.20833333333333334,17,5,0.29411764705882354
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,3,zeroslot,4,temporal,1,0,0.0,1,0,0.0
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,3,zeroslot,5,astralane,1,0,0.0,1,0,0.0
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,3,zeroslot,6,landx,21,10,0.47619047619047616,18,7,0.3888888888888889
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,3,zeroslot,7,tpu-quic,30,2,0.06666666666666667,12,1,0.08333333333333333
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,3,zeroslot,8,tpu-udp,16,3,0.1875,7,0,0.0
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,3,zeroslot,9,stellium,23,18,0.782608695652174,19,15,0.7894736842105263
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,3,zeroslot,10,nodeone,20,7,0.35,18,7,0.3888888888888889
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,4,temporal,5,astralane,3,2,0.6666666666666666,3,2,0.6666666666666666
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,4,temporal,6,landx,2,2,1.0,2,2,1.0
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,4,temporal,7,tpu-quic,8,0,0.0,8,0,0.0
