identity,leader_class,lane,lane_name,period,race_presence,firsts,neutral_expected_firsts,first_rate,lift_vs_neutral,mean_copies,mean_normalized_rank,analyzable_races_total
,prio,1,rpc,all,2,1,0.5333333333333333,0.5,1.875,1.0,0.25,357105
,prio,1,rpc,week:2026-W28,1,0,0.2,0.0,0.0,1.0,0.5,357105
,prio,1,rpc,week:2026-W29,1,1,0.3333333333333333,1.0,3.0,1.0,0.0,357105
,prio,2,helius,all,1,0,0.25,0.0,0.0,1.0,1.0,357105
,prio,2,helius,week:2026-W28,1,0,0.25,0.0,0.0,1.0,1.0,357105
,prio,3,zeroslot,all,1,0,0.3333333333333333,0.0,0.0,1.0,1.0,357105
,prio,3,zeroslot,week:2026-W29,1,0,0.3333333333333333,0.0,0.0,1.0,1.0,357105
,prio,4,temporal,all,1,0,0.3333333333333333,0.0,0.0,4.0,1.0,357105
,prio,4,temporal,week:2026-W29,1,0,0.3333333333333333,0.0,0.0,4.0,1.0,357105
,prio,5,astralane,all,1,0,0.3333333333333333,0.0,0.0,2.0,0.5,357105
,prio,5,astralane,week:2026-W29,1,0,0.3333333333333333,0.0,0.0,2.0,0.5,357105
,prio,6,landx,all,1,0,0.25,0.0,0.0,1.0,0.6666666666666666,357105
,prio,6,landx,week:2026-W28,1,0,0.25,0.0,0.0,1.0,0.6666666666666666,357105
,prio,7,tpu-quic,all,5,4,1.6166666666666665,0.8,2.4742268041237114,18.2,0.1,357105
,prio,7,tpu-quic,week:2026-W28,3,3,0.95,1.0,3.1578947368421053,23.333333333333332,0.0,357105
,prio,7,tpu-quic,week:2026-W29,2,1,0.6666666666666666,0.5,1.5,10.5,0.25,357105
,prio,8,tpu-udp,all,2,0,0.7,0.0,0.0,79.0,0.625,357105
,prio,8,tpu-udp,week:2026-W28,2,0,0.7,0.0,0.0,79.0,0.625,357105
,prio,9,stellium,all,1,0,0.2,0.0,0.0,1.0,1.0,357105
,prio,9,stellium,week:2026-W28,1,0,0.2,0.0,0.0,1.0,1.0,357105
,prio,10,nodeone,all,2,0,0.45,0.0,0.0,1.5,0.5416666666666666,357105
,prio,10,nodeone,week:2026-W28,2,0,0.45,0.0,0.0,1.5,0.5416666666666666,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,1,rpc,all,49,10,11.849999999999994,0.20408163265306123,0.8438818565400847,2.9183673469387754,0.5027210884353739,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,1,rpc,week:2026-W28,25,4,6.1119047619047615,0.16,0.654460459680561,2.08,0.6259999999999999,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,1,rpc,week:2026-W29,24,6,5.738095238095239,0.25,1.0456431535269708,3.7916666666666665,0.3743055555555556,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,2,helius,all,39,1,7.5761904761904795,0.02564102564102564,0.13199245757385286,1.1025641025641026,0.6876068376068378,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,2,helius,week:2026-W28,21,0,3.988095238095238,0.0,0.0,1.0952380952380953,0.6690476190476191,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,2,helius,week:2026-W29,18,1,3.5880952380952382,0.05555555555555555,0.278699402786994,1.1111111111111112,0.7092592592592593,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,3,zeroslot,all,34,2,6.326190476190478,0.058823529411764705,0.31614602935641695,1.1470588235294117,0.6813725490196079,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,3,zeroslot,week:2026-W28,18,0,3.1547619047619047,0.0,0.0,1.1666666666666667,0.7185185185185186,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,3,zeroslot,week:2026-W29,16,2,3.1714285714285713,0.125,0.6306306306306306,1.125,0.6395833333333334,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,4,temporal,all,8,0,2.8928571428571432,0.0,0.0,5.0,0.7625,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,4,temporal,week:2026-W28,5,0,2.166666666666667,0.0,0.0,3.2,0.9199999999999999,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,4,temporal,week:2026-W29,3,0,0.7261904761904762,0.0,0.0,8.0,0.5,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,5,astralane,all,3,1,0.7261904761904762,0.3333333333333333,1.3770491803278688,1.3333333333333333,0.4444444444444444,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,5,astralane,week:2026-W29,3,1,0.7261904761904762,0.3333333333333333,1.3770491803278688,1.3333333333333333,0.4444444444444444,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,6,landx,all,48,1,11.726190476190474,0.020833333333333332,0.08527918781725889,1.1458333333333333,0.6524305555555555,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,6,landx,week:2026-W28,25,0,5.197619047619048,0.0,0.0,1.24,0.6506666666666666,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,6,landx,week:2026-W29,23,1,6.52857142857143,0.043478260869565216,0.1531728665207877,1.0434782608695652,0.6543478260869565,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,7,tpu-quic,all,113,89,38.70238095238096,0.7876106194690266,2.299600123039064,24.761061946902654,0.11946902654867254,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,7,tpu-quic,week:2026-W28,73,60,26.247619047619047,0.821917808219178,2.285921625544267,25.301369863013697,0.10570776255707763,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,7,tpu-quic,week:2026-W29,40,29,12.454761904761902,0.725,2.328426687057924,23.775,0.14458333333333334,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,8,tpu-udp,all,65,13,23.214285714285708,0.2,0.5600000000000002,15.738461538461538,0.5802564102564103,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,8,tpu-udp,week:2026-W28,61,12,21.630952380952376,0.19672131147540983,0.5547605943863513,14.885245901639344,0.5773224043715848,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,8,tpu-udp,week:2026-W29,4,1,1.5833333333333333,0.25,0.6315789473684211,28.75,0.625,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,9,stellium,all,37,0,8.292857142857144,0.0,0.0,1.0810810810810811,0.7563063063063062,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,9,stellium,week:2026-W28,17,0,3.597619047619048,0.0,0.0,1.1176470588235294,0.6862745098039216,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,9,stellium,week:2026-W29,20,0,4.695238095238095,0.0,0.0,1.05,0.8158333333333333,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,10,nodeone,all,37,2,7.692857142857146,0.05405405405405406,0.2599814298978643,1.0810810810810811,0.6468468468468469,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,10,nodeone,week:2026-W28,19,0,3.9047619047619047,0.0,0.0,1.105263157894737,0.7315789473684211,357105
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,fifo,10,nodeone,week:2026-W29,18,2,3.7880952380952384,0.1111111111111111,0.5279698302954117,1.0555555555555556,0.5574074074074074,357105
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,prio,1,rpc,all,36,9,9.478571428571426,0.25,0.9495101733232859,3.0555555555555554,0.49305555555555564,357105
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,prio,1,rpc,week:2026-W28,12,1,2.502380952380952,0.08333333333333333,0.3996194100856328,2.0833333333333335,0.6083333333333333,357105
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,prio,1,rpc,week:2026-W29,24,8,6.976190476190476,0.3333333333333333,1.1467576791808873,3.5416666666666665,0.43541666666666656,357105
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,prio,2,helius,all,69,5,15.897619047619042,0.07246376811594203,0.31451250561629485,1.1014492753623188,0.6524154589371982,357105
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,prio,2,helius,week:2026-W28,42,3,9.628571428571428,0.07142857142857142,0.3115727002967359,1.0714285714285714,0.6670634920634921,357105
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,prio,2,helius,week:2026-W29,27,2,6.269047619047621,0.07407407407407407,0.31902772502848453,1.1481481481481481,0.6296296296296297,357105
