identity,tip_company,transactions,tipped_transactions
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,(none),1080,0
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,0slot,63,63
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,AstraLane,152,152
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,Falcon,119,119
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,Helius,306,306
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,Jito,59,59
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,Moon,1,1
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,Nextblock,41,41
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,NodeOne,108,108
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,Soyas,12,12
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,Stellium,106,106
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,Temporal,72,72
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,blockRazor,5,5
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,blockrazor,20,20
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,blocksprint,61,61
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,bloxroute,40,40
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,landX,361,361
11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,stellium,447,447
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,(none),48,0
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,0slot,4,4
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,AstraLane,3,3
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,Falcon,3,3
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,Flashblock,1,1
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,Helius,15,15
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,Jito,5,5
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,Nextblock,2,2
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,NodeOne,2,2
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,Soyas,1,1
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,Stellium,6,6
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,Temporal,8,8
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,blockrazor,1,1
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,blocksprint,3,3
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,bloxroute,1,1
12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,stellium,9,9
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,(none),140,0
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,0slot,14,14
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,AstraLane,27,27
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,Falcon,20,20
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,Helius,56,56
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,Jito,13,13
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,Nextblock,3,3
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,NodeOne,20,20
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,Soyas,1,1
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,Stellium,14,14
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,Temporal,31,31
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,blockrazor,4,4
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,blocksprint,9,9
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,bloxroute,16,16
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,landX,28,28
13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,stellium,46,46
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,(none),367,0
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,0slot,40,40
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,AstraLane,32,32
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,BloxRoute,3,3
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,Falcon,115,115
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,Flashblock,1,1
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,Helius,154,154
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,Jito,71,71
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,Moon,1,1
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,Nextblock,16,16
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,NodeOne,103,103
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,Soyas,4,4
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,Stellium,106,106
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,Temporal,44,44
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,blockRazor,7,7
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,blockrazor,7,7
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,blocksprint,42,42
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,bloxroute,18,18
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,landX,140,140
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,stellium,237,237
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,(none),274,0
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,0slot,16,16
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,AstraLane,18,18
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,BloxRoute,2,2
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,Falcon,94,94
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,Helius,81,81
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,Jito,25,25
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,Nextblock,5,5
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,NodeOne,18,18
1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG,Soyas,2,2
